"STATION","DIVISION","all","LAT","LON","geo_type","State_FIPS","County_FIPS","Tract_FIPS","f_pop","all_pop","p_emp_info","p_f_pop","p_emp_prof","p_75_100k","p_over_100k"
"BOROUGH HALL","IRT",4942862696,40.6931492,-73.9900883,"establishment","36","047","001100","602","1359",0.0696428571428571,0.442972774098602,0.308928571428571,0.132,0.577
"BOTANIC GARDEN","BMT",254834704,40.866555,-73.883109,"establishment","36","005","039700","2133","3881",0.0168810289389068,0.54960061839732,0.0377813504823151,0.056,0.082
"BOWERY","BMT",549572910,40.7201669,-73.9935279,"establishment","36","061","001800","3257","7490",0.0554592720970537,0.434846461949266,0.178757118098539,0.119,0.22
"BOWLING GREEN","IRT",99549384437,40.7048108,-74.0144596,"establishment","36","061","001300","2600","4639",0.0423800168397418,0.560465617589998,0.311535223126579,0.16,0.592
"BRIARWOOD","IND",851895180,40.7096808,-73.8195688,"establishment","36","081","022001","3365","6124",0.0397682380826969,0.549477465708687,0.0787463787200421,0.197,0.153
"BRIGHTON BEACH","BMT",3369879510,40.5776648,-73.9612769,"establishment","36","047","036200","1675","3290",0.0126666666666667,0.509118541033435,0.054,0.064,0.085
"BROAD CHANNEL","IND",62703005,40.6079998,-73.8158045,"establishment","36","081","107201","1040","2254",0.00560224089635854,0.461401952085182,0.0317460317460317,0.211,0.231
"BROAD ST","BMT",533538400,40.7070097,-74.0107831,"establishment","36","061","000700","5037","8809",0.0721146741539826,0.571801566579634,0.31668390719669,0.152,0.55
"BROADWAY","BMT",2550293825,40.7751681,-73.912009,"establishment","36","081","011500","1304","2513",0.0577489687684149,0.518901711102268,0.14614024749558,0.147,0.148
"BROADWAY","IND",880548622,40.7055238,-73.9500956,"establishment","36","047","051100","2074","4262",0.125889679715302,0.48662599718442,0.202402135231317,0.162,0.187
"BROADWAY JCT","IND",2354673852,40.6789137,-73.9039,"establishment","36","047","036700","670","1333",0.0354706684856753,0.502625656414104,0.053206002728513,0.057,0.111
"BRONX PARK EAST","IRT",40791336223,40.848986,-73.8683877,"establishment","36","005","023000","1498","2832",0.015993265993266,0.528954802259887,0.0151515151515152,0.061,0.093
"BROOK AV","IRT",1051759226,40.807568,-73.919243,"establishment","36","005","003900","3436","6742",0.0202725157859754,0.509641056066449,0.0232635427052177,0.054,0.05
"BROOKLYN BRIDGE","IRT",20828407280,40.7060855,-73.9968643,"establishment","36","061","001501","3667","6993",0.0665610142630745,0.524381524381524,0.274167987321712,0.11,0.52
"BUHRE AV","IRT",378124729,40.8469121,-73.8323569,"establishment","36","005","026602","2864","5207",0.00964489259096887,0.550028807374688,0.0118369136343709,0.229,0.084
"BURKE AV","IRT",448508789,40.8714516,-73.8670726,"establishment","36","005","037400","2123","3838",0.0118453865336658,0.553152683689422,0.0349127182044888,0.02,0.021
"BURNSIDE AV","IRT",25629418774,40.8860786,-73.8787861,"establishment","36","005","043503",NA,NA,NA,NA,NA,NA,NA
"BUSHWICK AV","BMT",298897715,40.6823373,-73.9051413,"establishment","36","047","040500","793","1670",0.0359869138495093,0.474850299401198,0.0872410032715376,0.067,0.057
"CANAL ST","BMT",128830730277,40.719528,-74.001778,"establishment","36","061","004700","1019","2236",0.0723291307232913,0.455724508050089,0.309887193098872,0.192,0.478
"CANAL ST","IND",40474653965,40.719528,-74.001778,"establishment","36","061","004700","1019","2236",0.0723291307232913,0.455724508050089,0.309887193098872,0.192,0.478
"CANAL ST","IRT",573398753,40.719528,-74.001778,"establishment","36","061","004700","1019","2236",0.0723291307232913,0.455724508050089,0.309887193098872,0.192,0.478
"CANARSIE-ROCKAW","BMT",3335560635,40.645567,-73.9025641,"establishment","36","047","097400","1684","2873",0.0136363636363636,0.586146884789419,0.00727272727272727,0.085,0.036
"CARROLL ST","IND",111138944953,40.6793313,-73.9954833,"establishment","36","047","007700","2589","5172",0.143754130865829,0.500580046403712,0.209187045604759,0.198,0.472
"CASTLE HILL AV","IRT",1053978916,40.834296,-73.851684,"establishment","36","005","020601","1226","2336",0.0294426919032597,0.524828767123288,0.0620399579390116,0.105,0.081
"CATHEDRAL PKWY","IND",3648380871,40.8008803,-73.958392,"establishment","36","061","019702","1260","2602",0.0356448476992871,0.48424289008455,0.112767336357745,0.205,0.279
"CATHEDRAL PKWY","IRT",939148138,40.8041795,-73.9667097,"establishment","36","061","019900","4883","8724",0.106652587117212,0.559720311783586,0.12909186906019,0.082,0.455
"CENTRAL AV","BMT",357337674,40.6978289,-73.9273632,"establishment","36","047","042300","2113","4222",0.0446808510638298,0.500473709142586,0.117872340425532,0.103,0.071
"CENTRAL PK N110","IRT",15797373250,40.7812199,-73.9665138,"establishment","36","061","014300","3","3",NA,1,NA,-6666666.66,-6666666.66
"CHAMBERS ST","BMT",1384781965,40.7143048,-74.0084412,"establishment","36","061","002100","2962","6486",0.0533789113857481,0.456675917360469,0.199053378911386,0.087,0.739
"CHAMBERS ST","IND",34183872742,40.7143048,-74.0084412,"establishment","36","061","002100","2962","6486",0.0533789113857481,0.456675917360469,0.199053378911386,0.087,0.739
"CHAMBERS ST","IRT",91975973162,40.7143048,-74.0084412,"establishment","36","061","002100","2962","6486",0.0533789113857481,0.456675917360469,0.199053378911386,0.087,0.739
